"","Qtr1","Qtr2","Qtr3","Qtr4"
"1960",0.71,1.3,3.69,6.12
"1961",0.63,1.45,3.6,7.74
"1962",0.85,1.25,3.6,8.91
"1963",0.44,1.26,4.32,8.28
"1964",0.61,1.38,4.32,6.84
"1965",0.69,1.86,4.05,9.54
"1966",0.92,1.56,4.86,10.26
"1967",0.55,1.53,5.04,9.54
"1968",0.72,1.59,5.04,8.729999
"1969",0.77,1.83,4.41,11.88
"1970",0.92,1.86,5.58,12.06
"1971",0.6,1.53,5.85,12.15
"1972",0.83,2.07,6.57,8.91
"1973",0.8,2.34,5.31,14.04
"1974",1,2.25,6.03,12.96
"1975",0.77,2.16,6.39,14.85
"1976",0.92,2.43,6.93,9.99
"1977",1,2.7,5.85,16.2
"1978",1.24,2.25,6.93,14.67
"1979",1,2.79,7.74,16.02
"1980",1.16,3.42,7.83,11.61
